invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1MLD6yDOkQuZ6Q4McOihCrHw,6540085080,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,417.05,-11.0,False,1,15,131725451.0,13,439.0,06/10/2021,0.0,9250.0,31162.0,1969-11-10,silver,"9,250 - 9,499",False,13 - 18,0 - 499,0 - 499,53.0,50-59,13-17
in_1MLD6yDOkQuZ6Q4MfTN6UwSI,7862930487,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,329.65,-11.0,False,1,15,33217701.0,13,347.0,09/02/2022,0.0,9042.0,50996.0,1972-04-23,gold,"9,000 - 9,249",False,13 - 18,0 - 499,0 - 499,50.0,50-59,13-17
in_1MLD7THfRoBp5g8KcRzLCJ0U,6309849186,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,598.0,-11.0,False,1,15,120022201.0,13,598.0,27/09/2021,0.0,9577.0,7546.0,1983-07-23,gold,"9,500 - 9,749",False,13 - 18,500 - 999,500 - 999,39.0,30-39,13-17
in_1MLDN0DOkQuZ6Q4MjhKwepbC,7625041821,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,763.83,-11.0,False,1,15,49748001.0,13,758.0,19/01/2022,0.0,9559.0,,1977-12-03,platinum,"9,500 - 9,749",False,13 - 18,500 - 999,500 - 999,45.0,40-49,13-17
in_1MLFGFHfRoBp5g8KozCGOgrD,8910317997,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,404.83,-11.0,False,1,15,230491701.0,12,399.0,16/05/2022,0.0,8727.0,49191.0,1996-07-25,silver,"8,500 - 8,999",False,7 - 12,0 - 499,0 - 499,26.0,20-29,13-17
in_1MLFGGHfRoBp5g8K7MKoJc0u,9301536684,monthly,2023-01-01,2023-01-15,2023-01-01,paid,,879.0,-14.0,False,1,15,240085551.0,12,879.0,25/06/2022,0.0,8539.0,13357.0,1981-05-12,platinum,"8,500 - 8,999",False,7 - 12,500 - 999,500 - 999,41.0,40-49,13-17
in_1MLFGHHfRoBp5g8KuGpTCgpN,8998292070,monthly,2023-01-01,2023-01-15,2023-01-01,paid,,782.1,-14.0,False,1,15,112706053.0,12,782.1,24/05/2022,0.0,9410.0,60437.0,1991-04-17,platinum,"9,250 - 9,499",False,7 - 12,500 - 999,500 - 999,31.0,30-39,13-17
in_1MLFGJHfRoBp5g8KQXyWPP45,8735008851,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,616.55,-11.0,False,1,15,69648201.0,12,616.55,27/04/2022,0.0,9958.0,84036.0,1960-10-07,gold,"9,750 - 10000",False,7 - 12,500 - 999,500 - 999,62.0,60-69,13-17
in_1MLFGNHfRoBp5g8KYK9WfJTM,7315603974,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,417.05,-11.0,False,1,15,36307101.0,12,417.05,22/12/2021,0.0,9882.0,79254.0,1960-10-17,silver,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,62.0,60-69,13-17
in_1MLFGWHfRoBp5g8KuQdCeC1o,8859529287,monthly,2023-01-01,2023-01-15,2023-01-04,paid,,481.32,-11.0,False,1,15,228521952.0,12,458.0,09/05/2022,0.0,9775.0,17033.0,1997-02-15,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,25.0,20-29,13-17
in_1MLFNbHfRoBp5g8Kd5MaCk3T,10562398641,monthly,2023-01-01,2023-01-15,2023-01-01,paid,,859.0,-14.0,False,1,15,310425251.0,12,859.0,14/10/2022,0.0,9682.0,25336.0,1985-03-11,silver,"9,500 - 9,749",False,7 - 12,500 - 999,500 - 999,37.0,30-39,13-17
